config,particles,timesteps,memory,runtime,looptime,mpi_pair,mpi_bond,mpi_neigh,mpi_comm,mpi_output,mpi_modify,mpi_other
rdf,512,10000000,4.540000,1715,1710.790039,33.270000,0.020000,0.820000,53.310001,0.600000,9.010000,2.970000
rdf,512,10000000,4.520000,1760,1755.010010,31.760000,0.020000,0.790000,53.000000,0.470000,9.700000,4.250000
rdf,512,25000000,7.700000,4584,4578.669922,34.630001,0.020000,0.760000,51.509998,0.640000,8.600000,3.830000
rdf,512,25000000,7.370000,4309,4305.549805,34.250000,0.020000,0.800000,52.160000,0.600000,9.380000,2.800000
rdf,512,25000000,7.270000,4530,4526.950195,31.360001,0.020000,0.770000,53.400002,0.670000,9.870000,3.910000
rdf,512,25000000,7.300000,4422,4418.049805,31.820000,0.020000,0.790000,53.400002,0.510000,9.720000,3.740000
rdf,512,25000000,7.270000,4317,4312.319824,33.360001,0.020000,0.810000,53.139999,0.560000,9.390000,2.720000
rdf,512,25000000,7.380000,4558,4552.259766,34.459999,0.020000,0.770000,51.680000,0.640000,8.550000,3.870000
rdf,512,25000000,7.390000,4581,4573.939941,34.480000,0.020000,0.770000,51.529999,0.910000,8.470000,3.820000
rdf,512,25000000,7.380000,4615,4610.040039,33.480000,0.020000,0.750000,52.369999,0.450000,9.440000,3.500000
rdf,512,25000000,7.300000,4202,4197.910156,33.680000,0.020000,0.830000,52.680000,0.440000,9.570000,2.780000
rdf,512,25000000,7.410000,4535,4530.939941,34.070000,0.020000,0.770000,51.970001,0.540000,8.650000,3.990000
rdf,512,50000000,11.880000,7809,7801.549805,35.790001,0.020000,0.890000,53.630001,0.510000,6.560000,2.600000
rdf,512,50000000,12.000000,8614,8608.950195,36.049999,0.020000,0.800000,53.720001,0.620000,6.310000,2.470000
rdf,512,50000000,11.980000,8898,8891.849609,35.020000,0.020000,0.790000,51.770000,0.580000,8.040000,3.790000
rdf,512,50000000,11.990000,9193,9186.620117,33.770000,0.020000,0.770000,53.080002,0.510000,8.580000,3.270000
rdf,512,50000000,12.000000,8141,8136.810059,36.930000,0.020000,0.850000,53.110001,0.540000,6.100000,2.440000
rdf,512,50000000,11.950000,8420,8411.849609,35.320000,0.020000,0.830000,54.380001,0.510000,6.390000,2.550000
rdf,512,50000000,12.000000,8616,8608.799805,34.090000,0.020000,0.820000,52.360001,0.540000,8.350000,3.820000
rdf,512,50000000,11.980000,9359,9352.080078,34.360001,0.020000,0.750000,52.669998,0.600000,8.350000,3.240000
